previous_state,next_state
32768,0
32768,1
32768,128
32768,129
32768,16384
32768,16385
32768,16386
32768,16512
32768,16513
32768,648
32768,147976
32768,17032
32768,148105
32768,8192
32768,8193
32768,8320
32768,8321
32768,24576
32768,155649
32768,24704
32768,156296
32768,32768
32768,32769
32768,32896
32768,32897
32768,49152
32768,180225
32768,49280
32768,180872
32768,40960
32768,41088
32768,172161
32768,188416
32768,188544
32768,65536
32768,65537
32768,65664
32768,65665
32768,81920
32768,212993
32768,82048
32768,213640
32768,73728
32768,73856
32768,221184
32768,98304
32768,98432
32768,245760
32768,237696
32768,254708
32768,1851392
32768,2089716
41216,0
41216,1
41216,128
41216,129
41216,16384
41216,16385
41216,16386
41216,16512
41216,16513
41216,648
41216,147976
41216,17032
41216,148105
41216,8192
41216,8193
41216,8320
41216,8321
41216,24576
41216,155649
41216,24704
41216,156296
41216,32768
41216,32769
41216,32896
41216,32897
41216,49152
41216,180225
41216,49280
41216,180872
41216,40960
41216,41088
41216,172161
41216,188416
41216,188544
41216,65536
41216,65537
41216,65664
41216,65665
41216,81920
41216,212993
41216,82048
41216,213640
41216,73728
41216,73856
41216,221184
41216,98304
41216,98432
41216,245760
41216,237696
41216,254708
41216,1851392
41216,2089716
876846,0
876846,1
876846,128
876846,129
876846,16384
876846,16385
876846,16386
876846,16512
876846,16513
876846,648
876846,147976
876846,17032
876846,148105
876846,8192
876846,8193
876846,8320
876846,8321
876846,24576
876846,155649
876846,24704
876846,156296
876846,32768
876846,32769
876846,32896
876846,32897
876846,49152
876846,180225
876846,49280
876846,180872
876846,40960
876846,41088
876846,172161
876846,188416
876846,188544
876846,65536
876846,65537
876846,65664
876846,65665
876846,81920
876846,212993
876846,82048
876846,213640
876846,73728
876846,73856
876846,221184
876846,98304
876846,98432
876846,245760
876846,237696
876846,254708
876846,1851392
876846,2089716
1014894,0
1014894,1
1014894,128
1014894,129
1014894,16384
1014894,16385
1014894,16386
1014894,16512
1014894,16513
1014894,648
1014894,147976
1014894,17032
1014894,148105
1014894,8192
1014894,8193
1014894,8320
1014894,8321
1014894,24576
1014894,155649
1014894,24704
1014894,156296
1014894,32768
1014894,32769
1014894,32896
1014894,32897
1014894,49152
1014894,180225
1014894,49280
1014894,180872
1014894,40960
1014894,41088
1014894,172161
1014894,188416
1014894,188544
1014894,65536
1014894,65537
1014894,65664
1014894,65665
1014894,81920
1014894,212993
1014894,82048
1014894,213640
1014894,73728
1014894,73856
1014894,221184
1014894,98304
1014894,98432
1014894,245760
1014894,237696
1014894,254708
1014894,1851392
1014894,2089716
49456,0
49456,1
49456,128
49456,129
49456,16384
49456,16385
49456,16386
49456,16512
49456,16513
49456,648
49456,147976
49456,17032
49456,148105
49456,8192
49456,8193
49456,8320
49456,8321
49456,24576
49456,155649
49456,24704
49456,156296
49456,32768
49456,32769
49456,32896
49456,32897
49456,49152
49456,180225
49456,49280
49456,180872
49456,40960
49456,41088
49456,172161
49456,188416
49456,188544
49456,65536
49456,65537
49456,65664
49456,65665
49456,81920
49456,212993
49456,82048
49456,213640
49456,73728
49456,73856
49456,221184
49456,98304
49456,98432
49456,245760
49456,237696
49456,254708
49456,1851392
49456,2089716
884334,0
884334,1
884334,128
884334,129
884334,16384
884334,16385
884334,16386
884334,16512
884334,16513
884334,648
884334,147976
884334,17032
884334,148105
884334,8192
884334,8193
884334,8320
884334,8321
884334,24576
884334,155649
884334,24704
884334,156296
884334,32768
884334,32769
884334,32896
884334,32897
884334,49152
884334,180225
884334,49280
884334,180872
884334,40960
884334,41088
884334,172161
884334,188416
884334,188544
884334,65536
884334,65537
884334,65664
884334,65665
884334,81920
884334,212993
884334,82048
884334,213640
884334,73728
884334,73856
884334,221184
884334,98304
884334,98432
884334,245760
884334,237696
884334,254708
884334,1851392
884334,2089716
1015406,0
1015406,1
1015406,128
1015406,129
1015406,16384
1015406,16385
1015406,16386
1015406,16512
1015406,16513
1015406,648
1015406,147976
1015406,17032
1015406,148105
1015406,8192
1015406,8193
1015406,8320
1015406,8321
1015406,24576
1015406,155649
1015406,24704
1015406,156296
1015406,32768
1015406,32769
1015406,32896
1015406,32897
1015406,49152
1015406,180225
1015406,49280
1015406,180872
1015406,40960
1015406,41088
1015406,172161
1015406,188416
1015406,188544
1015406,65536
1015406,65537
1015406,65664
1015406,65665
1015406,81920
1015406,212993
1015406,82048
1015406,213640
1015406,73728
1015406,73856
1015406,221184
1015406,98304
1015406,98432
1015406,245760
1015406,237696
1015406,254708
1015406,1851392
1015406,2089716
48750,0
48750,1
48750,128
48750,129
48750,16384
48750,16385
48750,16386
48750,16512
48750,16513
48750,648
48750,147976
48750,17032
48750,148105
48750,8192
48750,8193
48750,8320
48750,8321
48750,24576
48750,155649
48750,24704
48750,156296
48750,32768
48750,32769
48750,32896
48750,32897
48750,49152
48750,180225
48750,49280
48750,180872
48750,40960
48750,41088
48750,172161
48750,188416
48750,188544
48750,65536
48750,65537
48750,65664
48750,65665
48750,81920
48750,212993
48750,82048
48750,213640
48750,73728
