previous_state,new_state
0,148105
0,155649
0,156296
0,16386
0,17032
0,172161
0,180872
0,2089716
0,213640
0,254708
0,32897
1,148105
1,156296
1,16386
1,17032
1,180872
1,2089716
1,212993
1,213640
1,221184
1,237696
1,254708
1,65665
1,98432
128,148105
128,16386
128,172161
128,180872
128,2089716
128,237696
128,254708
128,32769
128,32896
128,32897
128,41088
128,98432
129,16386
129,172161
129,180872
129,2089716
129,213640
129,237696
129,254708
129,32896
129,32897
129,41088
129,65537
129,73728
129,98304
129,98432
147976,155649
147976,16386
147976,16513
147976,172161
147976,2089716
147976,254708
147976,32897
148105,16386
148105,172161
148105,2089716
148105,237696
148105,254708
148105,32896
148105,32897
148105,40960
148105,41088
148105,65537
148105,65664
148105,65665
148105,73728
148105,73856
148105,98304
148105,98432
155649,147976
155649,148105
155649,156296
155649,16386
155649,17032
155649,180872
155649,2089716
155649,212993
155649,213640
155649,254708
155649,65537
155649,65664
155649,65665
155649,73728
155649,73856
155649,82048
156296,155649
156296,16386
156296,16513
156296,172161
156296,32897
156296,65537
156296,65664
156296,65665
156296,73728
156296,73856
16384,148105
16384,156296
16384,16386
16384,17032
16384,172161
16384,180872
16384,2089716
16384,213640
16384,254708
16384,32897
16385,148105
16385,156296
16385,16386
16385,17032
16385,180872
16385,2089716
16385,213640
16385,237696
16385,254708
16385,65665
16385,98432
16386,148105
16386,155649
16386,156296
16386,17032
16386,172161
16386,180872
16386,1851392
16386,2089716
16386,212993
16386,213640
16386,221184
16386,237696
16386,245760
16386,254708
16386,32897
16386,65536
16386,65537
16386,65664
16386,65665
16386,73728
16386,73856
16386,81920
16386,82048
16386,98304
16386,98432
16512,148105
16512,16386
16512,172161
16512,180872
16512,2089716
16512,237696
16512,254708
16512,32769
16512,32896
16512,32897
16512,41088
16512,65665
16512,98432
16513,16386
16513,172161
16513,180872
16513,2089716
16513,213640
16513,237696
16513,254708
16513,32896
16513,32897
16513,41088
16513,65537
16513,65664
16513,65665
16513,73728
16513,73856
16513,98304
16513,98432
17032,16386
17032,172161
17032,2089716
17032,237696
17032,254708
17032,32769
17032,32896
17032,32897
17032,40960
17032,41088
17032,65665
17032,98432
172161,148105
172161,156296
172161,16386
172161,17032
172161,180872
172161,2089716
172161,212993
172161,213640
172161,221184
172161,254708
172161,648
172161,65536
172161,65537
172161,65664
172161,65665
172161,73728
172161,73856
180225,148105
180225,156296
180225,16386
180225,17032
180225,180872
180225,2089716
180225,212993
180225,213640
180225,221184
180225,237696
180225,254708
180225,65665
180225,98432
180872,16386
180872,172161
180872,2089716
180872,237696
180872,254708
180872,32769
180872,32896
180872,32897
180872,40960
180872,41088
180872,65665
180872,98432
1851392,148105
1851392,156296
1851392,16386
1851392,17032
1851392,172161
1851392,180872
1851392,2089716
1851392,213640
1851392,254708
1851392,32897
188416,147976
188416,148105
188416,155649
188416,156296
188416,16385
188416,16386
188416,16513
188416,17032
188416,180872
188416,2089716
188416,212993
188416,213640
188416,221184
188416,24576
188416,24704
188416,254708
188416,65665
188544,148105
188544,155649
188544,156296
188544,16386
188544,17032
188544,172161
188544,180872
188544,213640
188544,32897
188544,648
188544,65537
188544,65664
188544,65665
188544,73728
188544,73856
2089716,148105
2089716,155649
2089716,156296
2089716,16386
2089716,16513
2089716,17032
2089716,172161
2089716,180872
2089716,213640
2089716,32897
2089716,648
2089716,65537
2089716,65664
2089716,65665
2089716,73728
2089716,73856
212993,148105
212993,155649
212993,156296
212993,16386
212993,17032
212993,172161
212993,180872
212993,2089716
212993,213640
212993,237696
212993,254708
212993,32897
212993,98432
213640,16386
213640,172161
213640,2089716
213640,237696
213640,254708
213640,32769
213640,32896
213640,32897
213640,40960
213640,41088
213640,65665
213640,98432
221184,147976
221184,148105
221184,156296
221184,16386
221184,16513
221184,17032
221184,180872
221184,2089716
221184,213640
221184,254708
221184,65665
237696,148105
237696,155649
237696,156296
237696,16386
237696,17032
237696,180872
237696,213640
237696,648
237696,65537
237696,65664
237696,65665
237696,73728
237696,73856
24576,147976
24576,148105
24576,156296
24576,16386
24576,16513
24576,17032
24576,180872
24576,2089716
24576,213640
24576,254708
24576,65665
245760,148105
245760,155649
245760,156296
245760,16386
245760,17032
245760,172161
245760,180872
245760,2089716
245760,213640
245760,254708
245760,32897
24704,148105
24704,156296
24704,16386
24704,17032
24704,172161
24704,180872
24704,213640
24704,32897
24704,648
24704,65537
24704,65664
24704,65665
24704,73728
24704,73856
254708,148105
254708,155649
254708,156296
254708,16386
254708,16513
254708,17032
254708,172161
254708,180872
254708,213640
254708,32897
254708,648
254708,65537
254708,65664
254708,65665
254708,73728
254708,73856
32768,148105
32768,155649
32768,156296
32768,16386
32768,17032
32768,180872
32768,2089716
32768,213640
32768,254708
32769,148105
32769,156296
32769,16386
32769,17032
32769,180872
32769,2089716
32769,212993
32769,213640
32769,221184
32769,254708
32769,65665
32896,148105
32896,16386
32896,180872
32896,2089716
32896,254708
32896,65665
32897,16386
32897,180872
32897,2089716
32897,213640
32897,254708
32897,65537
32897,65664
32897,65665
32897,73728
32897,73856
40960,147976
40960,148105
40960,155649
40960,156296
40960,16385
40960,16386
40960,16513
40960,17032
40960,180872
40960,2089716
40960,212993
40960,213640
40960,221184
40960,24576
40960,24704
40960,254708
40960,65665
41088,148105
41088,155649
41088,156296
41088,16386
41088,17032
41088,180872
41088,213640
41088,648
41088,65537
41088,65664
41088,65665
41088,73728
41088,73856
49152,148105
49152,155649
49152,156296
49152,16386
49152,17032
49152,172161
49152,180872
49152,2089716
49152,213640
49152,254708
49152,32897
49280,148105
49280,16386
49280,172161
49280,180872
49280,2089716
49280,237696
49280,254708
49280,32769
49280,32896
49280,32897
49280,41088
49280,65665
49280,98432
648,16386
648,172161
648,2089716
648,237696
648,254708
648,32769
648,32896
648,32897
648,40960
648,41088
648,65665
648,98432
65536,148105
65536,155649
65536,156296
65536,16386
65536,17032
65536,172161
65536,180872
65536,2089716
65536,213640
65536,254708
65536,32897
65537,148105
65537,155649
65537,156296
65537,16386
65537,17032
65537,172161
65537,180872
65537,2089716
65537,213640
65537,221184
65537,237696
65537,254708
65537,32897
65537,98432
65664,148105
65664,16386
65664,172161
65664,180872
65664,2089716
65664,237696
65664,254708
65664,32769
65664,32896
65664,32897
65664,41088
65664,98432
65665,148105
65665,16386
65665,172161
65665,180872
65665,2089716
65665,213640
65665,237696
65665,254708
65665,32769
65665,32896
65665,32897
65665,41088
65665,73728
65665,98304
65665,98432
73728,147976
73728,148105
73728,155649
73728,156296
73728,16385
73728,16386
73728,16513
73728,17032
73728,180872
73728,2089716
73728,212993
73728,213640
73728,221184
73728,24576
73728,24704
73728,254708
73728,65665
73856,148105
73856,155649
73856,156296
73856,16386
73856,17032
73856,172161
73856,180872
73856,213640
73856,32897
73856,648
73856,65537
8192,147976
8192,148105
8192,155649
8192,156296
8192,16385
8192,16386
8192,16513
8192,17032
8192,180872
8192,2089716
8192,212993
8192,213640
8192,221184
8192,24576
8192,24704
8192,254708
8192,65665
81920,148105
81920,156296
81920,16386
81920,17032
81920,172161
81920,180872
81920,2089716
81920,213640
81920,254708
81920,32897
8193,147976
8193,148105
8193,155649
8193,156296
8193,16386
8193,17032
8193,180872
8193,1851392
8193,2089716
8193,212993
8193,213640
8193,221184
8193,24576
8193,24704
8193,254708
8193,65537
8193,65664
8193,65665
8193,81920
8193,82048
82048,148105
82048,16386
82048,172161
82048,180872
82048,2089716
82048,237696
82048,254708
82048,32769
82048,32896
82048,32897
82048,41088
82048,65665
82048,98432
8320,148105
8320,155649
8320,156296
8320,16386
8320,17032
8320,172161
8320,180872
8320,213640
8320,32897
8320,648
8320,65537
8321,148105
8321,156296
8321,16386
8321,17032
8321,180872
8321,2089716
8321,212993
8321,213640
8321,221184
8321,237696
8321,254708
8321,648
8321,65536
8321,65537
8321,65665
8321,98432
98304,148105
98304,155649
98304,156296
98304,16386
98304,17032
98304,180872
98304,2089716
98304,213640
98304,254708
98432,148105
98432,16386
98432,180872
98432,2089716
98432,254708
98432,65665
0,0
0,1
0,128
0,129
0,147976
0,16384
0,16385
0,16512
0,16513
0,180225
0,1851392
0,188416
0,188544
0,212993
0,221184
0,237696
0,24576
0,245760
0,24704
0,32768
0,32769
0,32896
0,40960
0,41088
0,49152
0,49280
0,648
0,65536
0,65537
0,65664
0,65665
0,73728
0,73856
0,8192
0,81920
0,8193
0,82048
0,8320
0,8321
0,98304
0,98432
1,0
1,1
1,128
1,129
1,147976
1,155649
1,16384
1,16385
1,16512
1,16513
1,172161
1,180225
1,1851392
1,188416
1,188544
1,24576
1,245760
1,24704
1,32768
1,32769
1,32896
1,32897
1,40960
1,41088
1,49152
1,49280
1,648
1,65536
1,65537
1,65664
1,73728
1,73856
1,8192
1,81920
1,8193
1,82048
1,8320
1,8321
1,98304
128,0
128,1
128,128
128,129
128,147976
128,155649
128,156296
128,16384
128,16385
128,16512
128,16513
128,17032
128,180225
128,1851392
128,188416
128,188544
128,212993
128,213640
128,221184
128,24576
128,245760
128,24704
128,32768
128,40960
128,49152
128,49280
128,648
128,65536
128,65537
128,65664
128,65665
128,73728
128,73856
128,8192
128,81920
128,8193
128,82048
128,8320
128,8321
128,98304
129,0
129,1
129,128
129,129
129,147976
129,148105
129,155649
129,156296
129,16384
129,16385
129,16512
129,16513
129,17032
129,180225
129,1851392
129,188416
129,188544
129,212993
129,221184
129,24576
129,245760
129,24704
129,32768
129,32769
129,40960
129,49152
129,49280
129,648
129,65536
129,65664
129,65665
129,73856
129,8192
129,81920
129,8193
129,82048
129,8320
129,8321
147976,0
147976,1
147976,128
147976,129
147976,147976
147976,148105
147976,156296
147976,16384
147976,16385
147976,16512
147976,17032
147976,180225
147976,180872
147976,1851392
147976,188416
147976,188544
147976,212993
147976,213640
147976,221184
147976,237696
147976,24576
147976,245760
147976,24704
147976,32768
147976,32769
147976,32896
147976,40960
147976,41088
147976,49152
147976,49280
147976,648
147976,65536
147976,65537
147976,65664
147976,65665
147976,73728
147976,73856
147976,8192
147976,81920
147976,8193
147976,82048
147976,8320
147976,8321
147976,98304
147976,98432
148105,0
148105,1
148105,128
148105,129
148105,147976
148105,148105
148105,155649
148105,156296
148105,16384
148105,16385
148105,16512
148105,16513
148105,17032
148105,180225
148105,180872
148105,1851392
148105,188416
148105,188544
148105,212993
148105,213640
148105,221184
148105,24576
148105,245760
148105,24704
148105,32768
148105,32769
148105,49152
148105,49280
148105,648
148105,65536
148105,8192
148105,81920
148105,8193
148105,82048
148105,8320
148105,8321
155649,0
155649,1
155649,128
155649,129
155649,155649
155649,16384
155649,16385
155649,16512
155649,16513
155649,172161
155649,180225
155649,1851392
155649,188416
155649,188544
155649,221184
155649,237696
155649,24576
155649,245760
155649,24704
155649,32768
155649,32769
155649,32896
155649,32897
155649,40960
155649,41088
155649,49152
155649,49280
155649,648
155649,65536
155649,8192
155649,81920
155649,8193
155649,8320
155649,8321
155649,98304
155649,98432
156296,0
156296,1
156296,128
156296,129
156296,147976
156296,148105
156296,156296
156296,16384
156296,16385
156296,16512
156296,17032
156296,180225
156296,180872
156296,1851392
156296,188416
156296,188544
156296,2089716
156296,212993
156296,213640
156296,221184
156296,237696
156296,24576
156296,245760
156296,24704
156296,254708
156296,32768
156296,32769
156296,32896
156296,40960
156296,41088
156296,49152
156296,49280
156296,648
156296,65536
156296,8192
156296,81920
156296,8193
156296,82048
156296,8320
156296,8321
156296,98304
156296,98432
16384,0
16384,1
16384,128
16384,129
16384,147976
16384,155649
16384,16384
16384,16385
16384,16512
16384,16513
16384,180225
16384,1851392
16384,188416
16384,188544
16384,212993
16384,221184
16384,237696
16384,24576
16384,245760
16384,24704
16384,32768
16384,32769
16384,32896
16384,40960
16384,41088
16384,49152
16384,49280
16384,648
16384,65536
16384,65537
16384,65664
16384,65665
16384,73728
16384,73856
16384,8192
16384,81920
16384,8193
16384,82048
16384,8320
16384,8321
16384,98304
16384,98432
16385,0
16385,1
16385,128
16385,129
16385,147976
16385,155649
16385,16384
16385,16385
16385,16512
16385,16513
16385,172161
16385,180225
16385,1851392
16385,188416
16385,188544
16385,212993
16385,221184
16385,24576
16385,245760
16385,24704
16385,32768
16385,32769
16385,32896
16385,32897
16385,40960
16385,41088
16385,49152
16385,49280
16385,648
16385,65536
16385,65537
16385,65664
16385,73728
16385,73856
16385,8192
16385,81920
16385,8193
16385,82048
16385,8320
16385,8321
16385,98304
16386,0
16386,1
16386,128
16386,129
16386,147976
16386,16384
16386,16385
16386,16386
16386,16512
16386,16513
16386,180225
16386,188416
16386,188544
16386,24576
16386,24704
16386,32768
16386,32769
16386,32896
16386,40960
16386,41088
16386,49152
16386,49280
16386,648
16386,8192
16386,8193
16386,8320
16386,8321
16512,0
16512,1
16512,128
16512,129
16512,147976
16512,155649
16512,156296
16512,16384
16512,16385
16512,16512
16512,16513
16512,17032
16512,180225
16512,1851392
16512,188416
16512,188544
16512,212993
16512,213640
16512,221184
16512,24576
16512,245760
16512,24704
16512,32768
16512,40960
16512,49152
16512,49280
16512,648
16512,65536
16512,65537
16512,65664
16512,73728
16512,73856
16512,8192
16512,81920
16512,8193
16512,82048
16512,8320
16512,8321
16512,98304
16513,0
16513,1
16513,128
16513,129
16513,147976
16513,148105
16513,155649
16513,156296
16513,16384
16513,16385
16513,16512
16513,16513
16513,17032
16513,180225
16513,1851392
16513,188416
16513,188544
16513,212993
16513,221184
16513,24576
16513,245760
16513,24704
16513,32768
16513,32769
16513,40960
16513,49152
16513,49280
16513,648
16513,65536
16513,8192
16513,81920
16513,8193
16513,82048
16513,8320
16513,8321
17032,0
17032,1
17032,128
17032,129
17032,147976
17032,148105
17032,155649
17032,156296
17032,16384
17032,16385
17032,16512
17032,16513
17032,17032
17032,180225
17032,180872
17032,1851392
17032,188416
17032,188544
17032,212993
17032,213640
17032,221184
17032,24576
17032,245760
17032,24704
17032,32768
17032,49152
17032,49280
17032,648
17032,65536
17032,65537
17032,65664
17032,73728
17032,73856
17032,8192
17032,81920
17032,8193
17032,82048
17032,8320
17032,8321
17032,98304
172161,0
172161,1
172161,128
172161,129
172161,147976
172161,155649
172161,16384
172161,16385
172161,16512
172161,16513
172161,172161
172161,180225
172161,1851392
172161,188416
172161,188544
172161,237696
172161,24576
172161,245760
172161,24704
172161,32768
172161,32769
172161,32896
172161,32897
172161,40960
172161,41088
172161,49152
172161,49280
172161,8192
172161,81920
172161,8193
172161,82048
172161,8320
172161,8321
172161,98304
172161,98432
180225,0
180225,1
180225,128
180225,129
180225,147976
180225,155649
180225,16384
180225,16385
180225,16512
180225,16513
180225,172161
180225,180225
180225,1851392
180225,188416
180225,188544
180225,24576
180225,245760
180225,24704
180225,32768
180225,32769
180225,32896
180225,32897
180225,40960
180225,41088
180225,49152
180225,49280
180225,648
180225,65536
180225,65537
180225,65664
180225,73728
180225,73856
180225,8192
180225,81920
180225,8193
180225,82048
180225,8320
180225,8321
180225,98304
180872,0
180872,1
180872,128
180872,129
180872,147976
180872,148105
180872,155649
180872,156296
180872,16384
180872,16385
180872,16512
180872,16513
180872,17032
180872,180225
180872,180872
180872,1851392
180872,188416
180872,188544
180872,212993
180872,213640
180872,221184
180872,24576
180872,245760
180872,24704
180872,32768
180872,49152
180872,49280
180872,648
180872,65536
180872,65537
180872,65664
180872,73728
180872,73856
180872,8192
180872,81920
180872,8193
180872,82048
180872,8320
180872,8321
180872,98304
1851392,0
1851392,1
1851392,128
1851392,129
1851392,147976
1851392,155649
1851392,16384
1851392,16385
1851392,16512
1851392,16513
1851392,180225
1851392,1851392
1851392,188416
1851392,188544
1851392,212993
1851392,221184
1851392,237696
1851392,24576
1851392,245760
1851392,24704
1851392,32768
1851392,32769
1851392,32896
1851392,40960
1851392,41088
1851392,49152
1851392,49280
1851392,648
1851392,65536
1851392,65537
1851392,65664
1851392,65665
1851392,73728
1851392,73856
1851392,8192
1851392,81920
1851392,8193
1851392,82048
1851392,8320
1851392,8321
1851392,98304
1851392,98432
188416,0
188416,1
188416,128
188416,129
188416,16384
188416,16512
188416,172161
188416,180225
188416,1851392
188416,188416
188416,188544
188416,237696
188416,245760
188416,32768
188416,32769
188416,32896
188416,32897
188416,40960
188416,41088
188416,49152
188416,49280
188416,648
188416,65536
188416,65537
188416,65664
188416,73728
188416,73856
188416,8192
188416,81920
188416,8193
188416,82048
188416,8320
188416,8321
188416,98304
188416,98432
188544,0
188544,1
188544,128
188544,129
188544,147976
188544,16384
188544,16385
188544,16512
188544,16513
188544,180225
188544,1851392
188544,188416
188544,188544
188544,2089716
188544,212993
188544,221184
188544,237696
188544,24576
188544,245760
188544,24704
188544,254708
188544,32768
188544,32769
188544,32896
188544,40960
188544,41088
188544,49152
188544,49280
188544,65536
188544,8192
188544,81920
188544,8193
188544,82048
188544,8320
188544,8321
188544,98304
188544,98432
2089716,0
2089716,1
2089716,128
2089716,129
2089716,147976
2089716,16384
2089716,16385
2089716,16512
2089716,180225
2089716,1851392
2089716,188416
2089716,188544
2089716,2089716
2089716,212993
2089716,221184
2089716,237696
2089716,24576
2089716,245760
2089716,24704
2089716,254708
2089716,32768
2089716,32769
2089716,32896
2089716,40960
2089716,41088
2089716,49152
2089716,49280
2089716,65536
2089716,8192
2089716,81920
2089716,8193
2089716,82048
2089716,8320
2089716,8321
2089716,98304
2089716,98432
212993,0
212993,1
212993,128
212993,129
212993,147976
212993,16384
212993,16385
212993,16512
212993,16513
212993,180225
212993,1851392
212993,188416
212993,188544
212993,212993
212993,221184
212993,24576
212993,245760
212993,24704
212993,32768
212993,32769
212993,32896
212993,40960
212993,41088
212993,49152
212993,49280
212993,648
212993,65536
212993,65537
212993,65664
212993,65665
212993,73728
212993,73856
212993,8192
212993,81920
212993,8193
212993,82048
212993,8320
212993,8321
212993,98304
213640,0
213640,1
213640,128
213640,129
213640,147976
213640,148105
213640,155649
213640,156296
213640,16384
213640,16385
213640,16512
213640,16513
213640,17032
213640,180225
213640,180872
213640,1851392
213640,188416
213640,188544
213640,212993
213640,213640
213640,221184
213640,24576
213640,245760
213640,24704
213640,32768
213640,49152
213640,49280
213640,648
213640,65536
213640,65537
213640,65664
213640,73728
213640,73856
213640,8192
213640,81920
213640,8193
213640,82048
213640,8320
213640,8321
213640,98304
221184,0
221184,1
221184,128
221184,129
221184,155649
221184,16384
221184,16385
221184,16512
221184,172161
221184,180225
221184,1851392
221184,188416
221184,188544
221184,212993
221184,221184
221184,237696
221184,24576
221184,245760
221184,24704
221184,32768
221184,32769
221184,32896
221184,32897
221184,40960
221184,41088
221184,49152
221184,49280
221184,648
221184,65536
221184,65537
221184,65664
221184,73728
221184,73856
221184,8192
221184,81920
221184,8193
221184,82048
221184,8320
221184,8321
221184,98304
221184,98432
237696,0
237696,1
237696,128
237696,129
237696,147976
237696,16384
237696,16385
237696,16512
237696,16513
237696,172161
237696,180225
237696,1851392
237696,188416
237696,188544
237696,2089716
237696,212993
237696,221184
237696,237696
237696,24576
237696,245760
237696,24704
237696,254708
237696,32768
237696,32769
237696,32896
237696,32897
237696,40960
237696,41088
237696,49152
237696,49280
237696,65536
237696,8192
237696,81920
237696,8193
237696,82048
237696,8320
237696,8321
237696,98304
237696,98432
24576,0
24576,1
24576,128
24576,129
24576,155649
24576,16384
24576,16385
24576,16512
24576,172161
24576,180225
24576,1851392
24576,188416
24576,188544
24576,212993
24576,221184
24576,237696
24576,24576
24576,245760
24576,24704
24576,32768
24576,32769
24576,32896
24576,32897
24576,40960
24576,41088
24576,49152
24576,49280
24576,648
24576,65536
24576,65537
24576,65664
24576,73728
24576,73856
24576,8192
24576,81920
24576,8193
24576,82048
24576,8320
24576,8321
24576,98304
24576,98432
245760,0
245760,1
245760,128
245760,129
245760,147976
245760,16384
245760,16385
245760,16512
245760,16513
245760,180225
245760,1851392
245760,188416
245760,188544
245760,212993
245760,221184
245760,237696
245760,24576
245760,245760
245760,24704
245760,32768
245760,32769
245760,32896
245760,40960
245760,41088
245760,49152
245760,49280
245760,648
245760,65536
245760,65537
245760,65664
245760,65665
245760,73728
245760,73856
245760,8192
245760,81920
245760,8193
245760,82048
245760,8320
245760,8321
245760,98304
245760,98432
24704,0
24704,1
24704,128
24704,129
24704,147976
24704,155649
24704,16384
24704,16385
24704,16512
24704,16513
24704,180225
24704,1851392
24704,188416
24704,188544
24704,2089716
24704,212993
24704,221184
24704,237696
24704,24576
24704,245760
24704,24704
24704,254708
24704,32768
24704,32769
24704,32896
24704,40960
24704,41088
24704,49152
24704,49280
24704,65536
24704,8192
24704,81920
24704,8193
24704,82048
24704,8320
24704,8321
24704,98304
24704,98432
254708,0
254708,1
254708,128
254708,129
254708,147976
254708,16384
254708,16385
254708,16512
254708,180225
254708,1851392
254708,188416
254708,188544
254708,2089716
254708,212993
254708,221184
254708,237696
254708,24576
254708,245760
254708,24704
254708,254708
254708,32768
254708,32769
254708,32896
254708,40960
254708,41088
254708,49152
254708,49280
254708,65536
254708,8192
254708,81920
254708,8193
254708,82048
254708,8320
254708,8321
254708,98304
254708,98432
32768,0
32768,1
32768,128
32768,129
32768,147976
32768,16384
32768,16385
32768,16512
32768,16513
32768,172161
32768,180225
32768,1851392
32768,188416
32768,188544
32768,212993
32768,221184
32768,237696
32768,24576
32768,245760
32768,24704
32768,32768
32768,32769
32768,32896
32768,32897
32768,40960
32768,41088
32768,49152
32768,49280
32768,648
32768,65536
32768,65537
32768,65664
32768,65665
32768,73728
32768,73856
32768,8192
32768,81920
32768,8193
32768,82048
32768,8320
32768,8321
32768,98304
32768,98432
32769,0
32769,1
32769,128
32769,129
32769,147976
32769,155649
32769,16384
32769,16385
32769,16512
32769,16513
32769,172161
32769,180225
32769,1851392
32769,188416
32769,188544
32769,237696
32769,24576
32769,245760
32769,24704
32769,32768
32769,32769
32769,32896
32769,32897
32769,40960
32769,41088
32769,49152
32769,49280
32769,648
32769,65536
32769,65537
32769,65664
32769,73728
32769,73856
32769,8192
32769,81920
32769,8193
32769,82048
32769,8320
32769,8321
32769,98304
32769,98432
32896,0
32896,1
32896,128
32896,129
32896,147976
32896,155649
32896,156296
32896,16384
32896,16385
32896,16512
32896,16513
32896,17032
32896,172161
32896,180225
32896,1851392
32896,188416
32896,188544
32896,212993
32896,213640
32896,221184
32896,237696
32896,24576
32896,245760
32896,24704
32896,32768
32896,32769
32896,32896
32896,32897
32896,40960
32896,41088
32896,49152
32896,49280
32896,648
32896,65536
32896,65537
32896,65664
32896,73728
32896,73856
32896,8192
32896,81920
32896,8193
32896,82048
32896,8320
32896,8321
32896,98304
32896,98432
32897,0
32897,1
32897,128
32897,129
32897,147976
32897,148105
32897,155649
32897,156296
32897,16384
32897,16385
32897,16512
32897,16513
32897,17032
32897,172161
32897,180225
32897,1851392
32897,188416
32897,188544
32897,212993
32897,221184
32897,237696
32897,24576
32897,245760
32897,24704
32897,32768
32897,32769
32897,32896
32897,32897
32897,40960
32897,41088
32897,49152
32897,49280
32897,648
32897,65536
32897,8192
32897,81920
32897,8193
32897,82048
32897,8320
32897,8321
32897,98304
32897,98432
40960,0
40960,1
40960,128
40960,129
40960,16384
40960,16512
40960,172161
40960,180225
40960,1851392
40960,188416
40960,188544
40960,237696
40960,245760
40960,32768
40960,32769
40960,32896
40960,32897
40960,40960
40960,41088
40960,49152
40960,49280
40960,648
40960,65536
40960,65537
40960,65664
40960,73728
40960,73856
40960,8192
40960,81920
40960,8193
40960,82048
40960,8320
40960,8321
40960,98304
40960,98432
41088,0
41088,1
41088,128
41088,129
41088,147976
41088,16384
41088,16385
41088,16512
41088,16513
41088,172161
41088,180225
41088,1851392
41088,188416
41088,188544
41088,2089716
41088,212993
41088,221184
41088,237696
41088,24576
41088,245760
41088,24704
41088,254708
41088,32768
41088,32769
41088,32896
41088,32897
41088,40960
41088,41088
41088,49152
41088,49280
41088,65536
41088,8192
41088,81920
41088,8193
41088,82048
41088,8320
41088,8321
41088,98304
41088,98432
49152,0
49152,1
49152,128
49152,129
49152,147976
49152,16384
49152,16385
49152,16512
49152,16513
49152,180225
49152,1851392
49152,188416
49152,188544
49152,212993
49152,221184
49152,237696
49152,24576
49152,245760
49152,24704
49152,32768
49152,32769
49152,32896
49152,40960
49152,41088
49152,49152
49152,49280
49152,648
49152,65536
49152,65537
49152,65664
49152,65665
49152,73728
49152,73856
49152,8192
49152,81920
49152,8193
49152,82048
49152,8320
49152,8321
49152,98304
49152,98432
49280,0
49280,1
49280,128
49280,129
49280,147976
49280,155649
49280,156296
49280,16384
49280,16385
49280,16512
49280,16513
49280,17032
49280,180225
49280,1851392
49280,188416
49280,188544
49280,212993
49280,213640
49280,221184
49280,24576
49280,245760
49280,24704
49280,32768
49280,40960
49280,49152
49280,49280
49280,648
49280,65536
49280,65537
49280,65664
