previous_state,next_state
0,2113536
0,1064960
0,16386
0,4210688
0,16388
0,0
0,540672
0,278528
0,16392
0,81920
0,16385
0,671746
0,671752
0,671748
0,4886301
0,4327325
0,16400
0,671760
0,1196048
0,147466
0,147474
0,147473
0,2244624
0,147476
0,147480
0,4341776
0,180736
0,16416
0,671776
0,1196064
0,147490
0,147489
0,2244640
0,147492
0,131104
0,147496
0,4341792
0,147504
0,156320
0,16448
0,671808
0,1196096
0,147522
0,147521
0,2244672
0,147524
0,131136
0,147528
0,4341824
0,939777
0,4933533
0,147536
0,147552
0,327297
0,409728
0,16512
0,671872
0,131200
0,147584
0,680576
0,1196160
0,147586
0,147585
0,2244736
0,147592
0,147588
0,4325376
0,8001437
0,4870045
0,147600
0,417792
0,151425
0,147616
0,2490115
0,4858653
0,147648
0,2253440
0,130305
0,311041
0,16640
0,672000
0,1196288
0,147714
0,147713
0,2244864
0,147716
0,4342016
0,147720
0,131328
0,4589469
0,147728
0,4343617
0,4849949
0,2245377
0,1196801
0,147744
0,4342529
0,148229
0,147776
0,358273
0,184065
0,147840
0,294785
0,2245249
0,4850077
0,679936
0,2245250
0,382721
0,5904029
0,4331165
0,5117597
0,5906333
0,181120
0,221824
0,4851612
0,359937
0,4570525
0,319233
0,16896
0,672256
0,16384
0,410112
0,131584
0,147968
0,1196544
0,147970
0,147969
0,2245120
0,147976
0,147972
0,147984
0,4850205
0,156417
0,148000
0,5112733
0,4850589
0,517889
0,148032
0,215040
0,4949917
0,355073
0,384385
0,454401
0,156288
0,164480
0,17024
0,82560
0,672384
0,2245248
0,4342400
0,148097
0,1196672
0,148098
0,17026
0,17032
0,17028
0,410248
0,131720
0,148104
0,17040
0,410256
0,131728
0,148112
0,672400
0,443008
0,180864
0,705152
0,2245264
0,1196688
0,148114
0,148120
0,148116
0,4850333
0,2244608
0,180866
0,17056
0,410272
0,131744
0,148128
0,2245280
0,1196704
0,148130
0,148132
0,148136
0,4342432
0,148129
0,5113753
0,180868
0,2244609
0,148144
0,390912
0,180872
0,390913
0,915201
0,156352
0,2245312
0,1196736
0,148162
0,4342464
0,148164
0,131776
0,672448
0,410304
0,148168
0,148161
0,390915
0,6440705
0,148176
0,390917
0,148192
0,180880
0,390921
0,327424
0,851713
0,4521729
0,148224
0,148225
0,410369
0,24576
0,17153
0,213761
0,385793
0,520065
0,672513
0,5113757
0,135168
0,148227
0,148233
0,4850445
0,5021597
0,390929
0,327427
0,148241
0,327429
0,4850453
0,4850457
0,4850460
0,4719389
0,4850461
0,4883229
0,656157
0,5899037
0,4850463
0,6947613
0,148257
0,4866845
0,4326173
0,327433
0,4858781
0,180896
0,4850493
0,1793
0,148289
0,374657
0,5220253
0,917377
0,327441
0,98049
0,4850525
0,390945
0,392577
0,4586881
0,916865
0,130433
0,2769536
0,5093261
0,131968
0,148352
0,17280
0,410496
0,672640
0,4342656
0,392581
0,1196928
0,148354
0,148353
0,159744
0,148360
0,148356
0,4850573
0,5156765
0,148368
0,4850581
0,2506752
0,153409
0,189056
0,4850585
0,4850588
0,6947741
0,656285
0,4719517
0,5088157
0,148384
0,4866973
0,4883357
0,5899165
0,4850591
0,4326301
0,1204224
0,327457
0,218369
0,1949597
0,136960
0,4850621
0,2234113
0,1185537
0,148416
0,4331265
0,661249
0,399105
0,136961
0,5029773
0,4720412
0,136963
0,6817565
0,7190429
0,898973
0,6141853
0,4568989
0,4720415
0,180928
0,4850653
0,5226141
0,154881
0,130944
0,5029785
0,4855565
0,17408
0,672768
0,1197056
0,148482
0,148481
0,2245632
0,148484
0,4342784
0,148488
0,5029788
0,130945
0,4919069
0,4345601
0,4767645
0,7126941
0,6078365
0,4505501
0,835485
0,5029789
0,148496
0,213504
0,4850717
0,148512
0,132096
0,4888461
0,6926237
0,4855577
0,156672
0,327489
0,148544
0,382849
0,661277
0,5904157
0,6952733
0,5117725
0,4331293
0,4855583
0,371457
0,3538689
0,360065
0,148608
0,319361
0,360195
0,197248
0,415553
0,4571036
0,4850845
0,156544
0,185857
0,360197
0,145153
0,4920733
0,4728605
0,126721
0,384513
0,343809
0,4857245
0,148736
0,410881
0,17665
0,214273
0,386305
0,673025
0,2245889
0,1197313
0,148739
0,148745
0,148741
0,4850957
0,148753
0,4850965
0,7188380
0,4850969
0,4850972
0,4719901
0,4850973
0,4883741
0,656669
0,5899549
0,4850975
0,6948125
0,148769
0,4867357
0,4326685
0,180993
0,18176
0,391040
0,2115329
0,1066753
0,4212481
0,280321
0,18177
0,1439617
0,2488193
0,542465
0,391041
0,4585345
0,18179
0,915329
0,128897
0,4863773
0,18181
0,391045
0,4851037
0,379649
0,393093
0,3293824
0,327552
0,216833
0,148865
0,2424705
0,1376129
0,4521857
0,6143645
0,65409
0,851841
0,327553
0,6428573
0,327555
0,4851085
0,4851093
0,327557
0,677697
0,4851097
0,4851100
0,6948253
0,656797
0,4720029
0,5088669
0,4867485
0,4883869
0,5899677
0,4851103
0,4851101
0,4859293
0,327561
0,153344
0,2250496
0,1201920
0,4347648
0,677632
0,1464065
0,2250497
0,6444801
0,153345
0,415489
0,153346
0,3299073
0,5396225
0,1726209
0,2512641
0,1201923
0,2250499
