previous_state,next_state
520,0
520,1
520,128
520,129
520,16384
520,16385
520,16386
520,16512
520,16513
520,648
520,147976
520,17032
520,148105
520,8192
520,8193
520,8320
520,8321
520,24576
520,155649
520,24704
520,156296
520,32768
520,32769
520,32896
520,32897
520,49152
520,180225
520,49280
520,180872
520,40960
520,41088
520,172161
520,188416
520,188544
520,65536
520,65537
520,65664
520,65665
520,81920
520,212993
520,82048
520,213640
520,73728
520,73856
520,221184
520,98304
520,98432
520,245760
520,237696
520,254708
520,1851392
520,2089716
756,0
756,1
756,128
756,129
756,16384
756,16385
756,16386
756,16512
756,16513
756,648
756,147976
756,17032
756,148105
756,8192
756,8193
756,8320
756,8321
756,24576
756,155649
756,24704
756,156296
756,32768
756,32769
756,32896
756,32897
756,49152
756,180225
756,49280
756,180872
756,40960
756,41088
756,172161
756,188416
756,188544
756,65536
756,65537
756,65664
756,65665
756,81920
756,212993
756,82048
756,213640
756,73728
756,73856
756,221184
756,98304
756,98432
756,245760
756,237696
756,254708
756,1851392
756,2089716
15624,0
15624,1
15624,128
15624,129
15624,16384
15624,16385
15624,16386
15624,16512
15624,16513
15624,648
15624,147976
15624,17032
15624,148105
15624,8192
15624,8193
15624,8320
15624,8321
15624,24576
15624,155649
15624,24704
15624,156296
15624,32768
15624,32769
15624,32896
15624,32897
15624,49152
15624,180225
15624,49280
15624,180872
15624,40960
15624,41088
15624,172161
15624,188416
15624,188544
15624,65536
15624,65537
15624,65664
15624,65665
15624,81920
15624,212993
15624,82048
15624,213640
15624,73728
15624,73856
15624,221184
15624,98304
15624,98432
15624,245760
15624,237696
15624,254708
15624,1851392
15624,2089716
16904,0
16904,1
16904,128
16904,129
16904,16384
16904,16385
16904,16386
16904,16512
16904,16513
16904,648
16904,147976
16904,17032
16904,148105
16904,8192
16904,8193
16904,8320
16904,8321
16904,24576
16904,155649
16904,24704
16904,156296
16904,32768
16904,32769
16904,32896
16904,32897
16904,49152
16904,180225
16904,49280
16904,180872
16904,40960
16904,41088
16904,172161
16904,188416
16904,188544
16904,65536
16904,65537
16904,65664
16904,65665
16904,81920
16904,212993
16904,82048
16904,213640
16904,73728
16904,73856
16904,221184
16904,98304
16904,98432
16904,245760
16904,237696
16904,254708
16904,1851392
16904,2089716
17140,0
17140,1
17140,128
17140,129
17140,16384
17140,16385
17140,16386
17140,16512
17140,16513
17140,648
17140,147976
17140,17032
17140,148105
17140,8192
17140,8193
17140,8320
17140,8321
17140,24576
17140,155649
17140,24704
17140,156296
17140,32768
17140,32769
17140,32896
17140,32897
17140,49152
17140,180225
17140,49280
17140,180872
17140,40960
17140,41088
17140,172161
17140,188416
17140,188544
17140,65536
17140,65537
17140,65664
17140,65665
17140,81920
17140,212993
17140,82048
17140,213640
17140,73728
17140,73856
17140,221184
17140,98304
17140,98432
17140,245760
17140,237696
17140,254708
17140,1851392
17140,2089716
32244,0
32244,1
32244,128
32244,129
32244,16384
32244,16385
32244,16386
32244,16512
32244,16513
32244,648
32244,147976
